Feature,VIF,RÂ²
ewma_orb_diff,999.99,1.0
ewma_tov_diff,999.99,1.0
projected_possession_margin,999.99,1.0
off_elo_diff,95.04751845841373,0.9894789467813667
away_composite_elo,56.32702797153362,0.9822465335734494
home_composite_elo,56.276654921313906,0.982230642503571
total_foul_environment,7.366978339061363,0.8642591366533852
ewma_foul_synergy_home,4.589096390995108,0.7820921778931825
net_free_throw_advantage,3.606416739805586,0.722716460091102
ewma_efg_diff,1.7121409717422007,0.4159359442333518
def_elo_diff,1.628031756420554,0.38576136733436084
ewma_pace_diff,1.1606211077761668,0.13839237172235164
ewma_vol_3p_diff,1.0831627042268885,0.07677766590592328
league_offensive_context,1.0499818293698582,0.04760256603664714
ewma_chaos_home,1.047621391272456,0.04545668088603483
star_power_leverage,1.0415920963916316,0.03993127111440109
pace_efficiency_interaction,1.0168755990470741,0.016595539378551738
injury_matchup_advantage,1.0155221912971193,0.015284935602729588
season_progress,1.0134054221768256,0.013228093992264545
net_fatigue_score,1.0087247520724678,0.008649289168866425
three_point_matchup,1.008476101864542,0.008404861403131791
offense_vs_defense_matchup,1.0068065845325225,0.006760568153895141
